City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,23.02,61,40,3.0,US,1675193438
1,mataura,-46.1927,168.8643,60.3,100,100,1.14,NZ,1675193439
2,tuatapere,-46.1333,167.6833,61.54,96,100,3.11,NZ,1675193439
3,lorengau,-2.0226,147.2712,80.17,80,100,7.49,PG,1675193439
4,thinadhoo,0.5333,72.9333,81.07,75,37,9.93,MV,1675193440
5,vestmannaeyjar,63.4427,-20.2734,30.65,73,100,23.64,IS,1675193440
6,linping,30.4225,120.2972,40.95,59,0,1.99,CN,1675193440
7,ushuaia,-54.8,-68.3,56.86,54,75,13.8,AR,1675193227
8,veraval,20.9,70.3667,68.58,40,16,14.38,IN,1675193441
9,cidreira,-30.1811,-50.2056,79.12,78,9,7.85,BR,1675193441
10,cockburn town,21.4612,-71.1419,80.56,57,40,16.11,TC,1675193441
11,magadan,59.5667,150.8,6.53,95,100,8.32,RU,1675193442
12,panama city,8.9936,-79.5197,91.17,46,40,18.41,PA,1675193442
13,bredasdorp,-34.5322,20.0403,68.34,90,30,5.17,ZA,1675193356
14,arraial do cabo,-22.9661,-42.0278,84.16,61,0,23.02,BR,1675193443
15,punta arenas,-53.15,-70.9167,60.91,48,75,24.16,CL,1675193443
16,northam,51.0333,-4.2167,46.62,81,100,14.27,GB,1675193202
17,noumea,-22.2763,166.4572,79.0,99,69,3.53,NC,1675193444
18,qaanaaq,77.484,-69.3632,-5.78,48,87,8.66,GL,1675193444
19,atuona,-9.8,-139.0333,78.87,74,95,23.31,PF,1675193444
20,teluk nibung,3.001,99.8164,74.48,93,100,4.29,ID,1675193445
21,kodiak,57.79,-152.4072,38.71,87,100,8.05,US,1675193445
22,bluff,-46.6,168.3333,59.83,98,100,3.24,NZ,1675193446
23,neuquen,-38.9516,-68.0591,73.29,46,75,6.91,AR,1675193446
24,rikitea,-23.1203,-134.9692,78.91,74,14,11.59,PF,1675193446
25,lompoc,34.6391,-120.4579,62.64,54,0,4.61,US,1675193447
26,tuktoyaktuk,69.4541,-133.0374,-32.8,75,0,2.3,CA,1675193447
27,yellowknife,62.456,-114.3525,-25.08,75,75,8.05,CA,1675193447
28,ayorou,14.7308,0.9174,77.61,5,96,8.75,NE,1675193448
29,ust-ilimsk,58.0006,102.6619,0.75,98,100,4.12,RU,1675193448
30,rincon,32.296,-81.2354,73.36,76,75,8.05,US,1675193448
31,busselton,-33.65,115.3333,57.58,75,0,16.33,AU,1675193449
32,jalu,29.0331,21.5482,54.43,56,42,11.01,LY,1675193449
33,cayambe,0.05,-78.1333,65.46,68,94,2.98,EC,1675193449
34,ende,-8.8432,121.6623,79.03,88,100,2.84,ID,1675193449
35,hasaki,35.7333,140.8333,25.2,54,55,5.57,JP,1675193450
36,bonavista,48.6499,-53.1147,28.53,85,100,3.87,CA,1675193450
37,lastoursville,-0.8143,12.7287,77.86,69,59,0.51,GA,1675193450
38,mae sot,16.7167,98.5667,64.42,61,67,1.3,TH,1675193451
39,nikolskoye,59.7035,30.7861,30.09,95,100,7.09,RU,1675193451
40,isla vista,34.4133,-119.861,62.46,62,0,6.91,US,1675193451
41,bud,39.447,-86.1758,27.68,63,100,8.25,US,1675193452
42,doha,25.2867,51.5333,67.98,83,0,17.27,QA,1675193413
43,codrington,-38.2667,141.9667,58.86,81,100,8.48,AU,1675193452
44,hithadhoo,-0.6,73.0833,80.8,77,26,9.48,MV,1675193452
45,aklavik,68.2191,-135.0107,-32.13,100,20,2.8,CA,1675193453
46,isangel,-19.55,169.2667,80.55,78,100,2.73,VU,1675193453
47,mahebourg,-20.4081,57.7,79.09,89,40,6.91,MU,1675193453
48,aquiraz,-3.9014,-38.3911,84.29,75,97,9.37,BR,1675193454
49,alta floresta,-9.8756,-56.0861,80.96,78,31,1.3,BR,1675193454
50,kapaa,22.0752,-159.319,72.12,94,0,4.61,US,1675193454
51,ponta do sol,32.6667,-17.1,59.72,65,35,6.89,PT,1675193455
52,lichtenburg,-26.152,26.1597,62.35,82,70,4.41,ZA,1675193456
53,logrono,42.4667,-2.45,42.44,81,40,6.91,ES,1675193457
54,port alfred,-33.5906,26.891,69.19,93,23,5.01,ZA,1675193457
55,kalmunai,7.4167,81.8167,74.3,92,100,16.78,LK,1675193458
56,urumqi,43.801,87.6005,5.95,85,40,2.24,CN,1675193286
57,provideniya,64.3833,-173.3,15.42,100,68,2.17,RU,1675193458
58,mancio lima,-7.6142,-72.8958,89.67,74,75,0.0,BR,1675193458
59,lake city,30.1897,-82.6393,83.62,54,75,6.91,US,1675193459
60,beni mazar,28.4962,30.8029,54.01,47,0,8.68,EG,1675193459
61,kabrai,25.4167,80.0167,55.17,84,0,7.94,IN,1675193459
62,naryan-mar,67.6713,53.087,23.05,92,100,17.13,RU,1675193460
63,victoria,22.2855,114.1577,66.94,79,91,5.99,HK,1675193162
64,bambous virieux,-20.3428,57.7575,79.05,89,40,6.91,MU,1675193460
65,albany,42.6001,-73.9662,30.16,56,98,3.0,US,1675193461
66,college,64.8569,-147.8028,18.59,88,100,4.61,US,1675193461
67,santa isabel do rio negro,-0.4139,-65.0192,79.52,84,100,2.51,BR,1675193461
68,north platte,41.1239,-100.7654,12.09,62,0,14.97,US,1675193462
69,luganville,-15.5333,167.1667,78.06,83,91,2.08,VU,1675193462
70,araguacu,-12.9306,-49.8264,84.29,67,20,1.01,BR,1675193462
71,saint george,37.1041,-113.5841,37.44,33,0,8.05,US,1675193462
72,alofi,-19.0595,-169.9187,76.89,94,100,10.36,NU,1675193463
73,tuensang,26.2833,94.8333,57.16,64,94,2.28,IN,1675193463
74,saint anthony,45.0205,-93.218,10.06,60,75,10.36,US,1675193463
75,algiers,36.7525,3.042,44.42,87,20,3.44,DZ,1675193286
76,yumen,40.2833,97.2,19.35,38,55,2.1,CN,1675193464
77,khatanga,71.9667,102.5,-42.59,100,75,5.14,RU,1675193464
78,saint-philippe,-21.3585,55.7679,80.19,80,100,8.14,RE,1675193465
79,pisco,-13.7,-76.2167,78.85,69,0,12.66,PE,1675193465
80,ust-nera,64.5667,143.2,-13.04,99,100,3.83,RU,1675193465
81,esperance,-33.8667,121.9,62.06,74,100,14.07,AU,1675193466
82,chiredzi,-21.05,31.6667,77.05,67,25,10.98,ZW,1675193466
83,buloh kasap,2.5536,102.764,71.56,97,98,3.56,MY,1675193467
84,hobart,-42.8794,147.3294,58.86,80,20,6.91,AU,1675193467
85,ukiah,39.1502,-123.2078,61.93,23,67,2.21,US,1675193467
86,surt,31.2089,16.5887,59.04,62,61,22.77,LY,1675193467
87,opuwo,-18.0607,13.84,65.8,84,98,3.29,NA,1675193468
88,hilo,19.7297,-155.09,77.29,86,40,5.75,US,1675193468
89,butaritari,3.0707,172.7902,80.1,78,43,19.35,KI,1675193468
90,tautira,-17.7333,-149.15,80.58,76,25,15.28,PF,1675193469
91,maniitsoq,65.4167,-52.9,3.79,73,100,8.88,GL,1675193469
92,saldanha,-33.0117,17.9442,64.45,96,22,17.67,ZA,1675193469
93,agbor,6.2518,6.1934,82.74,66,81,7.72,NG,1675193470
94,moroni,-11.7022,43.2551,79.56,82,7,1.61,KM,1675193470
95,hamilton,39.1834,-84.5333,28.72,73,100,5.75,US,1675193470
96,puerto ayora,-0.7393,-90.3518,84.16,90,65,4.0,EC,1675193471
